Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
GUILIN VIEW,26 Bukit Batok Street 52  #08-06 ,1,117,Strata,1010000,-,8632,802,3-Jul-18,Condominium,99 Yrs From 24/04/1996,2000,Resale,HDB,23,65,659247,West Region,Bukit Batok
THOMSON GRAND,17 Sin Ming Walk  #09-07 ,1,128,Strata,1850000,-,14453,1343,3-Jul-18,Condominium,99 Yrs From 08/02/2010,2015,Resale,HDB,20,57,573913,Central Region,Bishan
D'LEEDON,7 Leedon Heights  #10-18 ,1,126,Strata,2100000,-,16667,1548,3-Jul-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,267953,Central Region,Bukit Timah
THE TROPICA,61 Tampines Avenue 1  #04-05 ,1,92,Strata,878000,-,9543,887,3-Jul-18,Condominium,99 Yrs From 04/12/1996,2000,Resale,HDB,18,52,529776,East Region,Tampines
WATERFRONT ISLE,732 Bedok Reservoir Road  #04-15 ,1,85,Strata,1110000,-,13059,1213,3-Jul-18,Condominium,99 Yrs From 26/11/2009,2015,Resale,Private,16,47,479262,East Region,Bedok
HEDGES PARK CONDOMINIUM,87 Flora Drive  #05-61 ,1,74,Strata,780000,-,10541,979,3-Jul-18,Condominium,99 Yrs From 28/07/2010,2015,Resale,Private,17,50,506889,East Region,Pasir Ris
FORESQUE RESIDENCES,109 Petir Road  #21-19 ,1,69,Strata,880000,-,12754,1185,3-Jul-18,Condominium,99 Yrs From 10/01/2011,2014,Resale,Private,23,67,678276,West Region,Bukit Panjang
THE LAKEFRONT RESIDENCES,46 Lakeside Drive  #02-10 ,1,131,Strata,1728000,-,13191,1225,2-Jul-18,Condominium,99 Yrs From 03/08/2010,2014,Resale,Private,22,64,648324,West Region,Jurong West
PARC BOTANNIA,10 Fernvale Street  #15-09 ,1,47,Strata,693000,-,14745,1370,2-Jul-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,Private,28,79,797390,North East Region,Sengkang
THE CREST,105 Prince Charles Crescent  #22-13 ,1,154,Strata,3089000,-,20058,1863,2-Jul-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159019,Central Region,Bukit Merah
QUEENS PEAK,3 Dundee Road  #35-25 ,1,140,Strata,2542000,-,18157,1687,2-Jul-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,HDB,3,14,149457,Central Region,Queenstown
CITYLIGHTS,86 Jellicoe Road  #18-17 ,1,64,Strata,1110000,-,17344,1611,2-Jul-18,Condominium,99 Yrs From 05/01/2004,2007,Resale,Private,8,20,208745,Central Region,Kallang
THE CREST,103 Prince Charles Crescent  #20-11 ,1,81,Strata,1783000,-,22012,2045,2-Jul-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159018,Central Region,Bukit Merah
REGENT HEIGHTS,52 Bukit Batok East Avenue 5  #25-01 ,1,95,Strata,778000,-,8189,761,2-Jul-18,Condominium,99 Yrs From 07/11/1995,1999,Resale,HDB,23,65,659802,West Region,Bukit Batok
TREVISTA,25 Lorong 3 Toa Payoh  #37-15 ,1,169,Strata,2350000,-,13905,1292,2-Jul-18,Condominium,99 Yrs From 15/07/2008,2011,Resale,Private,12,31,319583,Central Region,Toa Payoh
QUEENS,10 Stirling Road  #24-01 ,1,111,Strata,1535000,-,13829,1285,2-Jul-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,HDB,3,14,148954,Central Region,Queenstown
THE WARREN,45 Choa Chu Kang Loop  #11-15 ,1,97,Strata,900000,-,9278,862,2-Jul-18,Condominium,99 Yrs From 21/06/2001,2004,Resale,HDB,23,68,689679,West Region,Choa Chu Kang
WATERBANK AT DAKOTA,84 Dakota Crescent  #10-29 ,1,119,Strata,1888000,-,15866,1474,2-Jul-18,Condominium,99 Yrs From 07/12/2009,2013,Resale,Private,14,39,399948,Central Region,Geylang
THE CREST,103 Prince Charles Crescent  #09-12 ,1,115,Strata,2564000,-,22296,2071,2-Jul-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159018,Central Region,Bukit Merah
SKY HABITAT,7 Bishan Street 15  #26-05 ,1,125,Strata,2059000,-,16472,1530,2-Jul-18,Condominium,99 Yrs From 30/05/2011,2015,Resale,HDB,20,57,573908,Central Region,Bishan
THE CREST,101 Prince Charles Crescent  #14-01 ,1,126,Strata,2471000,-,19611,1822,2-Jul-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159017,Central Region,Bukit Merah
JEWEL @ BUANGKOK,89 Compassvale Bow  #14-35 ,1,46,Strata,680000,-,14783,1373,2-Jul-18,Condominium,99 Yrs From 12/09/2012,2016,Resale,Private,19,54,544687,North East Region,Sengkang
SILVERSEA,48 Marine Parade Road  #04-10 ,1,141,Strata,2500000,-,17730,1647,2-Jul-18,Condominium,99 Yrs From 20/07/2007,2014,Resale,HDB,15,44,449306,Central Region,Marine Parade
THE TAPESTRY,51 Tampines Street 86  #03-02 ,1,44,Strata,674040,-,15319,1423,2-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
MARINA BAY RESIDENCES,18 Marina Boulevard  #44-10 ,1,220,Strata,8700000,-,39545,3674,2-Jul-18,Condominium,99 Yrs From 11/10/2005,2010,Resale,HDB,1,1,18980,Central Region,Downtown Core
MY MANHATTAN,33 Simei Street 3  #08-19 ,1,149,Strata,1950000,-,13087,1216,2-Jul-18,Condominium,99 Yrs From 11/08/2010,2014,Resale,Private,18,52,529903,East Region,Tampines
PARC BOTANNIA,18 Fernvale Street  #18-32 ,1,91,Strata,1389112,-,15265,1418,2-Jul-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,Private,28,79,797394,North East Region,Sengkang
THE TAPESTRY,59 Tampines Street 86  #11-31 ,1,105,Strata,1425600,-,13577,1261,1-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528509,East Region,Tampines
THE TAPESTRY,51 Tampines Street 86  #01-02 ,1,44,Strata,678140,-,15412,1432,1-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
GEM RESIDENCES,1 Lorong 5 Toa Payoh  #18-04 ,1,91,Strata,1557220,-,17112,1590,1-Jul-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,N.A,12,31,319458,Central Region,Toa Payoh
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #34-12 ,1,94,Strata,1840000,-,19574,1819,1-Jul-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,N.A,12,31,319459,Central Region,Toa Payoh
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #31-16 ,1,88,Strata,1732000,-,19682,1828,1-Jul-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,N.A,12,31,319459,Central Region,Toa Payoh
THE TAPESTRY,63 Tampines Street 86  #07-57 ,1,92,Strata,1203200,-,13078,1215,1-Jul-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528511,East Region,Tampines
THE TAPESTRY,63 Tampines Street 86  #12-52 ,1,105,Strata,1444800,-,13760,1278,30-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528511,East Region,Tampines
THE TAPESTRY,63 Tampines Street 86  #11-52 ,1,105,Strata,1438400,-,13699,1273,30-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528511,East Region,Tampines
THE TAPESTRY,57 Tampines Street 86  #12-26 ,1,86,Strata,1246400,-,14493,1346,30-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528542,East Region,Tampines
THE TAPESTRY,53 Tampines Street 86  #15-15 ,1,125,Strata,1531200,-,12250,1138,30-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines
SKY HABITAT,7 Bishan Street 15  #15-05 ,1,121,Strata,1934400,-,15987,1485,29-Jun-18,Condominium,99 Yrs From 30/05/2011,2015,Resale,Private,20,57,573908,Central Region,Bishan
THE MADEIRA,56 Bukit Batok Street 31  #14-16 ,1,121,Strata,1085000,-,8967,833,29-Jun-18,Condominium,99 Yrs From 14/08/2000,2003,Resale,HDB,23,65,659445,West Region,Bukit Batok
GEM RESIDENCES,1 Lorong 5 Toa Payoh  #32-08 ,1,122,Strata,2030000,-,16639,1546,29-Jun-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,HDB,12,31,319458,Central Region,Toa Payoh
PARC BOTANNIA,16 Fernvale Street  #03-21 ,1,116,Strata,1524000,-,13138,1221,29-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,Private,28,79,797393,North East Region,Sengkang
RIPPLE BAY,12 Pasir Ris Link  #10-49 ,1,101,Strata,1290000,-,12772,1187,29-Jun-18,Condominium,99 Yrs From 10/08/2011,2015,Resale,Private,18,51,518164,East Region,Pasir Ris
TREVISTA,23 Lorong 3 Toa Payoh  #07-10 ,1,106,Strata,1548000,-,14604,1357,29-Jun-18,Condominium,99 Yrs From 15/07/2008,2011,Resale,Private,12,31,319582,Central Region,Toa Payoh
KOVAN MELODY,25 Kovan Road  #03-23 ,1,121,Strata,1390000,-,11488,1067,29-Jun-18,Condominium,99 Yrs From 20/01/2004,2006,Resale,Private,19,54,545024,North East Region,Hougang
EUPHONY GARDENS,13 Jalan Mata Ayer  #04-75 ,1,170,Strata,1195000,-,7029,653,29-Jun-18,Condominium,99 Yrs From 25/02/1998,2001,Resale,Private,27,75,759155,North Region,Mandai
THE ESTUARY,89 Yishun Avenue 1  #05-09 ,1,121,Strata,1180000,-,9752,906,29-Jun-18,Condominium,99 Yrs From 25/06/2008,2013,Resale,HDB,27,76,769134,North Region,Yishun
MELVILLE PARK,20 Simei Street 1  #06-10 ,1,87,Strata,723000,-,8310,772,29-Jun-18,Condominium,99 Yrs From 01/09/1992,1996,Resale,HDB,18,52,529944,East Region,Tampines
GEM RESIDENCES,3 Lorong 5 Toa Payoh  #35-12 ,1,94,Strata,1890000,-,20106,1868,29-Jun-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,Private,12,31,319459,Central Region,Toa Payoh
KOVAN REGENCY,4 Kovan Rise  #08-09 ,1,105,Strata,1580000,-,15048,1398,29-Jun-18,Condominium,99 Yrs From 24/04/2012,2015,Resale,Private,19,54,544735,North East Region,Hougang
WATER PLACE,173 Tanjong Rhu Road  #09-05 ,1,113,Strata,1580000,-,13982,1299,29-Jun-18,Condominium,99 Yrs From 02/03/1998,2004,Resale,HDB,15,43,436932,Central Region,Kallang
THE CREST,103 Prince Charles Crescent  #11-09 ,1,115,Strata,2527000,-,21974,2041,29-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159018,Central Region,Bukit Merah
FORESQUE RESIDENCES,109 Petir Road  #23-18 ,1,105,Strata,1350000,-,12857,1194,29-Jun-18,Condominium,99 Yrs From 10/01/2011,2014,Resale,HDB,23,67,678276,West Region,Bukit Panjang
GUILIN VIEW,22 Bukit Batok Street 52  #07-03 ,1,117,Strata,1020000,-,8718,810,29-Jun-18,Condominium,99 Yrs From 24/04/1996,1999,Resale,HDB,23,65,659245,West Region,Bukit Batok
THE CREST,101 Prince Charles Crescent  #20-01 ,1,145,Strata,2834000,-,19545,1816,29-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159017,Central Region,Bukit Merah
THE METROPOLITAN CONDOMINIUM,8 Alexandra View  #09-08 ,1,161,Strata,2300000,-,14286,1327,29-Jun-18,Condominium,99 Yrs From 17/02/2006,2009,Resale,Private,3,15,158747,Central Region,Bukit Merah
BLUE HORIZON,29 West Coast Crescent  #18-28 ,1,86,Strata,958000,-,11140,1035,29-Jun-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128049,West Region,Clementi
CLEMENTIWOODS CONDOMINIUM,78 West Coast Road  #03-05 ,1,52,Strata,758000,-,14577,1354,29-Jun-18,Condominium,99 Yrs From 07/02/2006,2010,Resale,Private,5,12,126815,West Region,Clementi
AQUARIUS BY THE PARK,19 Bedok Reservoir View  #12-04 ,1,123,Strata,1250000,-,10163,944,29-Jun-18,Condominium,99 Yrs From 12/06/1996,2000,Resale,Private,16,47,478935,East Region,Bedok
THE CREST,103 Prince Charles Crescent  #07-09 ,1,111,Strata,2495000,-,22477,2088,29-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159018,Central Region,Bukit Merah
SOPHIA HILLS,23 Mount Sophia  #01-74 ,1,47,Strata,1260000,-,26809,2491,29-Jun-18,Condominium,99 Yrs From 10/12/2013,2018,New Sale,Private,9,22,228476,Central Region,Rochor
KOVAN REGENCY,4 Kovan Rise  #12-09 ,1,105,Strata,1585000,-,15095,1402,29-Jun-18,Condominium,99 Yrs From 24/04/2012,2015,Resale,Private,19,54,544735,North East Region,Hougang
RIVERSOUND RESIDENCE,5 Sengkang East Avenue  #05-14 ,1,117,Strata,1200000,-,10256,953,29-Jun-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,HDB,19,54,544740,North East Region,Sengkang
THE CREST,103 Prince Charles Crescent  #09-09 ,1,112,Strata,2453000,-,21902,2035,29-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159018,Central Region,Bukit Merah
BAYSHORE PARK,66 Bayshore Road  #19-01 ,1,87,Strata,1150000,-,13218,1228,29-Jun-18,Condominium,99 Yrs From 17/03/1982,1986,Resale,HDB,16,46,469985,East Region,Bedok
SKY VUE,3 Bishan Street 15  #05-18 ,1,106,Strata,1650000,-,15566,1446,29-Jun-18,Condominium,99 Yrs From 04/03/2013,2016,Resale,Private,20,57,573911,Central Region,Bishan
THE CREST,113 Prince Charles Crescent  #01-34 ,1,160,Strata,3444000,-,21525,2000,29-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159023,Central Region,Bukit Merah
PALM GARDENS,2C Hong San Walk  #13-11 ,1,112,Strata,868000,-,7750,720,29-Jun-18,Condominium,99 Yrs From 12/08/1996,2000,Resale,HDB,23,68,689049,West Region,Choa Chu Kang
D'LEEDON,13 Leedon Heights  #03-43 ,1,78,Strata,1360000,-,17436,1620,29-Jun-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,266224,Central Region,Bukit Timah
RIVERSOUND RESIDENCE,9 Sengkang East Avenue  #15-29 ,1,99,Strata,1138888,-,11504,1069,29-Jun-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,HDB,19,54,544742,North East Region,Sengkang
THE TAPESTRY,63 Tampines Street 86  #08-58 ,1,56,Strata,867510,-,15491,1439,29-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528511,East Region,Tampines
GEM RESIDENCES,1 Lorong 5 Toa Payoh  #17-08 ,1,122,Strata,1936440,-,15872,1475,29-Jun-18,Condominium,99 Yrs From 21/09/2015,Uncompleted,New Sale,Private,12,31,319458,Central Region,Toa Payoh
THE BAYSHORE,26 Bayshore Road  #24-08 ,1,94,Strata,1040000,-,11064,1028,29-Jun-18,Condominium,99 Yrs From 31/05/1993,1996,Resale,Private,16,46,469972,East Region,Bedok
WATERBANK AT DAKOTA,72 Dakota Crescent  #06-07 ,1,110,Strata,1860000,-,16909,1571,29-Jun-18,Condominium,99 Yrs From 07/12/2009,2013,Resale,Private,14,39,399942,Central Region,Geylang
WATERFRONT KEY,772 Bedok Reservoir Road  #12-08 ,1,141,Strata,1820000,-,12908,1199,29-Jun-18,Condominium,99 Yrs From 31/10/2007,2012,Resale,Private,16,47,479251,East Region,Bedok
ECHELON,7 Alexandra View  #32-04 ,1,68,Strata,1540000,-,22647,2104,29-Jun-18,Condominium,99 Yrs From 06/03/2012,2016,Resale,HDB,3,15,158741,Central Region,Bukit Merah
SEASTRAND,17 Pasir Ris Link  #08-47 ,1,111,Strata,1130000,-,10180,946,29-Jun-18,Condominium,99 Yrs From 03/01/2011,2014,Resale,HDB,18,51,518183,East Region,Pasir Ris
OASIS @ ELIAS,66 Elias Road  #04-11 ,1,116,Strata,945000,-,8147,757,29-Jun-18,Condominium,99 Yrs From 17/03/2008,2011,Resale,Private,18,51,519941,East Region,Pasir Ris
NV RESIDENCES,95 Pasir Ris Grove  #11-42 ,1,110,Strata,1130000,-,10273,954,28-Jun-18,Condominium,99 Yrs From 07/01/2008,2013,Resale,HDB,18,51,518192,East Region,Pasir Ris
ASTORIA PARK,36 Lorong Mydin  #05-02 ,1,79,Strata,915000,-,11582,1076,28-Jun-18,Condominium,99 Yrs From 01/05/1993,1995,Resale,HDB,14,41,416828,East Region,Bedok
CASPIAN,56 Lakeside Drive  #10-28 ,1,81,Strata,1000000,-,12346,1147,28-Jun-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,HDB,22,64,648318,West Region,Jurong West
THE MINTON,8A Hougang Street 11  #04-28 ,1,91,Strata,970000,-,10659,990,28-Jun-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,534081,North East Region,Hougang
THE TAPESTRY,51 Tampines Street 86  #07-02 ,1,44,Strata,687160,-,15617,1451,28-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
THE TAPESTRY,51 Tampines Street 86  #06-02 ,1,44,Strata,683880,-,15543,1444,28-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
PARC BOTANNIA,12 Fernvale Street  #15-10 ,1,47,Strata,676000,-,14383,1336,28-Jun-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,Private,28,79,797391,North East Region,Sengkang
CHILTERN PARK,133 Serangoon Avenue 3  #10-08 ,1,87,Strata,1050000,-,12069,1121,28-Jun-18,Condominium,99 Yrs From 01/03/1991,1995,Resale,HDB,19,55,556113,North East Region,Serangoon
RIVERSOUND RESIDENCE,9 Sengkang East Avenue  #04-25 ,1,120,Strata,1250000,-,10417,968,28-Jun-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,HDB,19,54,544742,North East Region,Sengkang
PEBBLE BAY,130 Tanjong Rhu Road  #05-04 ,1,176,Strata,2780000,-,15795,1467,28-Jun-18,Condominium,99 Yrs From 09/03/1994,1997,Resale,Private,15,43,436918,Central Region,Kallang
SAVANNAH CONDOPARK,49 Simei Rise  #03-40 ,1,114,Strata,975000,-,8553,795,28-Jun-18,Condominium,99 Yrs From 29/11/2000,2005,Resale,Private,18,52,528788,East Region,Tampines
TERRASSE,21 Terrasse Lane  #04-02 ,1,124,Strata,1630000,-,13145,1221,28-Jun-18,Condominium,99 Yrs From 23/08/2010,2014,Resale,HDB,19,54,544774,North East Region,Hougang
ROSEWOOD,9 Rosewood Drive  #06-17 ,1,137,Strata,1020000,-,7445,692,28-Jun-18,Condominium,99 Yrs From 20/06/2000,2003,Resale,HDB,25,73,737938,North Region,Woodlands
BISHAN 8,63 Bishan Street 21  #08-02 ,1,110,Strata,1330000,-,12091,1123,28-Jun-18,Condominium,99 Yrs From 09/10/1996,2000,Resale,Private,20,57,574045,Central Region,Bishan
REGENT HEIGHTS,56 Bukit Batok East Avenue 5  #03-02 ,1,109,Strata,865000,-,7936,737,28-Jun-18,Condominium,99 Yrs From 07/11/1995,1999,Resale,HDB,23,65,659804,West Region,Bukit Batok
THE WARREN,55 Choa Chu Kang Loop  #08-33 ,1,112,Strata,980000,-,8750,813,28-Jun-18,Condominium,99 Yrs From 21/06/2001,2004,Resale,Private,23,68,689684,West Region,Choa Chu Kang
D'LEEDON,11 Leedon Heights  #13-30 ,1,59,Strata,1150000,-,19492,1811,28-Jun-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,HDB,10,26,267955,Central Region,Bukit Timah
THE TAPESTRY,51 Tampines Street 86  #11-06 ,1,41,Strata,653670,-,15943,1481,28-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
REFLECTIONS AT KEPPEL BAY,31 Keppel Bay View  #15-91 ,1,104,Strata,1820000,-,17500,1626,28-Jun-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,HDB,4,9,98418,Central Region,Bukit Merah
THE TAPESTRY,51 Tampines Street 86  #09-02 ,1,44,Strata,693720,-,15766,1465,28-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
THE LUXURIE,23 Compassvale Road  #12-26 ,1,72,Strata,948000,-,13167,1223,28-Jun-18,Condominium,99 Yrs From 15/06/2011,2015,Resale,HDB,19,54,544755,North East Region,Sengkang
VILLA MARINA,25 Jalan Sempadan  #01-03 ,1,132,Strata,1260000,-,9545,887,28-Jun-18,Condominium,99 Yrs From 13/02/1995,1999,Resale,Private,15,45,457400,East Region,Bedok
THE RAINTREE,81 Bukit Drive  #01-01 ,1,97,Strata,1033000,-,10649,989,28-Jun-18,Condominium,99 Yrs From 01/03/2003,2008,Resale,Private,21,58,587850,West Region,Bukit Panjang
BISHAN 8,63 Bishan Street 21  #10-09 ,1,108,Strata,1440000,-,13333,1239,28-Jun-18,Condominium,99 Yrs From 09/10/1996,2000,Resale,HDB,20,57,574045,Central Region,Bishan
FOREST HILLS CONDOMINIUM,29 Transit Road  #05-08 ,1,176,Strata,1074000,-,6102,567,28-Jun-18,Condominium,99 Yrs From 10/02/2000,2003,Resale,Private,26,77,778905,North Region,Yishun
A TREASURE TROVE,52 Punggol Walk  #12-08 ,1,112,Strata,1385555,-,12371,1149,28-Jun-18,Condominium,99 Yrs From 09/03/2011,2015,Resale,HDB,19,82,828831,North East Region,Punggol
JEWEL @ BUANGKOK,87 Compassvale Bow  #07-27 ,1,106,Strata,1370000,-,12925,1201,28-Jun-18,Condominium,99 Yrs From 12/09/2012,2016,Resale,HDB,19,54,544686,North East Region,Sengkang
PALMWOODS,450 Upper Changi Road  #02-08 ,1,113,Strata,1143000,-,10115,940,28-Jun-18,Condominium,99 Yrs From 12/06/1996,1999,Resale,HDB,16,48,487040,East Region,Bedok
LIVIA,75 Pasir Ris Grove  #03-30 ,1,143,Strata,1340000,-,9371,871,27-Jun-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518207,East Region,Pasir Ris
THE LUXURIE,21 Compassvale Road  #01-21 ,1,160,Strata,1258000,-,7863,730,27-Jun-18,Condominium,99 Yrs From 15/06/2011,2015,Resale,HDB,19,54,544754,North East Region,Sengkang
SILVERSEA,46 Marine Parade Road  #10-04 ,1,91,Strata,1630000,-,17912,1664,27-Jun-18,Condominium,99 Yrs From 20/07/2007,2014,Resale,Private,15,44,449305,Central Region,Marine Parade
BISHAN POINT,61 Bright Hill Drive  #28-01 ,1,138,Strata,1755000,-,12717,1181,27-Jun-18,Condominium,99 Yrs From 06/12/1997,2005,Resale,Private,20,57,579653,Central Region,Bishan
SEA ESTA,20 Pasir Ris Link  #04-14 ,1,84,Strata,870000,-,10357,962,27-Jun-18,Condominium,99 Yrs From 09/01/2012,2015,Resale,Private,18,51,518157,East Region,Pasir Ris
RIO VISTA,30 Upper Serangoon View  #15-40 ,1,116,Strata,1100000,-,9483,881,27-Jun-18,Condominium,99 Yrs From 02/01/2001,2004,Resale,HDB,19,53,534208,North East Region,Hougang
THE TAPESTRY,63 Tampines Street 86  #09-57 ,1,92,Strata,1214400,-,13200,1226,27-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,N.A,18,52,528511,East Region,Tampines
ARCHIPELAGO,509 Bedok Reservoir Road  #05-30 ,1,49,Strata,707000,-,14429,1340,27-Jun-18,Condominium,99 Yrs From 01/06/2011,2015,Resale,HDB,16,47,479271,East Region,Bedok
REFLECTIONS AT KEPPEL BAY,8 Keppel Bay View  #06-37 ,1,172,Strata,3720800,-,21633,2010,27-Jun-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,Private,4,9,98406,Central Region,Bukit Merah
GRANDEUR PARK RESIDENCES,9 Bedok South Avenue 3  #03-37 ,1,105,Strata,1649112,-,15706,1459,27-Jun-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,N.A,16,46,465465,East Region,Bedok
THE MADEIRA,52 Bukit Batok Street 31  #28-08 ,1,283,Strata,2408880,-,8512,791,27-Jun-18,Condominium,99 Yrs From 14/08/2000,2003,Resale,Private,23,65,659443,West Region,Bukit Batok
WATERFRONT KEY,776 Bedok Reservoir Road  #04-20 ,1,112,Strata,1438000,-,12839,1193,27-Jun-18,Condominium,99 Yrs From 31/10/2007,2012,Resale,Private,16,47,479253,East Region,Bedok
THE NAUTICAL,97 Jalan Sendudok  #02-78 ,1,92,Strata,955000,-,10380,964,27-Jun-18,Condominium,99 Yrs From 29/08/2011,2015,Resale,HDB,27,76,769474,North Region,Sembawang
ECO,269 Bedok South Avenue 3  #12-04 ,1,100,Strata,1630000,-,16300,1514,27-Jun-18,Condominium,99 Yrs From 14/05/2012,2017,Resale,HDB,16,46,465488,East Region,Bedok
THE CREST,105 Prince Charles Crescent  #02-15 ,1,146,Strata,2825000,-,19349,1798,27-Jun-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159019,Central Region,Bukit Merah
THE TAPESTRY,51 Tampines Street 86  #02-10 ,1,56,Strata,851310,-,15202,1412,27-Jun-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528539,East Region,Tampines
SIMSVILLE,2 Geylang East Avenue 2  #08-09 ,1,116,Strata,1200000,-,10345,961,27-Jun-18,Condominium,99 Yrs From 01/12/1994,1998,Resale,Private,14,38,389754,Central Region,Geylang
QUEENS PEAK,3 Dundee Road  #30-25 ,1,140,Strata,2445000,-,17464,1622,27-Jun-18,Condominium,99 Yrs From 28/09/2015,Uncompleted,New Sale,N.A,3,14,149457,Central Region,Queenstown
CASPIAN,50 Lakeside Drive  #08-07 ,1,87,Strata,1170000,-,13448,1249,27-Jun-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,Private,22,64,648315,West Region,Jurong West
PALM ISLES,34 Flora Drive  #04-26 ,1,73,Strata,760000,-,10411,967,26-Jun-18,Condominium,99 Yrs From 14/09/2011,2015,Resale,HDB,17,50,506893,East Region,Pasir Ris
THE VISION,79 West Coast Crescent  #21-02 ,1,84,Strata,1200000,-,14286,1327,26-Jun-18,Condominium,99 Yrs From 25/06/2008,2014,Resale,HDB,5,12,126793,West Region,Clementi
EUHABITAT,206 Jalan Eunos  #02-57 ,1,51,Strata,640000,-,12549,1166,26-Jun-18,Condominium,99 Yrs From 06/12/2010,2015,Resale,HDB,14,41,419547,East Region,Bedok
VARSITY PARK CONDOMINIUM,24 West Coast Road  #01-06 ,1,149,Strata,1730000,-,11611,1079,26-Jun-18,Condominium,99 Yrs From 03/05/2004,2008,Resale,Private,5,12,127447,West Region,Clementi
RIVERSOUND RESIDENCE,9A Sengkang East Avenue  #05-33 ,1,99,Strata,1036000,-,10465,972,26-Jun-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,Private,19,54,544743,North East Region,Sengkang
THE PALETTE,113 Pasir Ris Grove  #09-39 ,1,99,Strata,1080000,-,10909,1013,26-Jun-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,HDB,18,51,518171,East Region,Pasir Ris
