Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SKY VUE,1 Bishan Street 15  #24-07 ,1,63,Strata,1238000,-,19651,1826,27-Dec-18,Condominium,99 Yrs From 04/03/2013,2016,Resale,HDB,20,57,573910,Central Region,Bishan
THE TAPESTRY,61 Tampines Street 86  #14-41 ,1,56,Strata,929880,-,16605,1543,27-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528510,East Region,Tampines
THE PANORAMA,16 Ang Mo Kio Avenue 2  #07-24 ,1,40,Strata,685000,-,17125,1591,27-Dec-18,Condominium,99 Yrs From 08/04/2013,2017,Resale,Private,20,56,567699,North East Region,Ang Mo Kio
HILLSTA,68 Phoenix Road  #05-10 ,1,70,Strata,838000,-,11971,1112,27-Dec-18,Condominium,99 Yrs From 03/10/2011,2016,Resale,Private,23,66,668202,West Region,Bukit Batok
PARC BOTANNIA,18 Fernvale Street  #06-33 ,1,91,Strata,1234810,-,13569,1261,27-Dec-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797394,North East Region,Sengkang
THE PALETTE,117 Pasir Ris Grove  #08-54 ,1,108,Strata,1210000,-,11204,1041,27-Dec-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,HDB,18,51,518173,East Region,Pasir Ris
THE CREST,101 Prince Charles Crescent  #23-01 ,1,121,Strata,2470000,-,20413,1896,27-Dec-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159017,Central Region,Bukit Merah
THE CLEARWATER,6 Bedok Reservoir View  #05-15 ,1,128,Strata,1308000,-,10219,949,27-Dec-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,Private,16,47,479234,East Region,Bedok
THE MINTON,10 Hougang Street 11  #03-31 ,1,113,Strata,1260000,-,11150,1036,26-Dec-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,HDB,19,53,534080,North East Region,Hougang
GUILIN VIEW,28 Bukit Batok Street 52  #01-03 ,1,162,Strata,1500000,-,9259,860,26-Dec-18,Condominium,99 Yrs From 24/04/1996,2000,Resale,Private,23,65,659248,West Region,Bukit Batok
SEASONS PARK,491 Yio Chu Kang Road  #07-05 ,1,99,Strata,810000,-,8182,760,26-Dec-18,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787078,North East Region,Ang Mo Kio
PARK COLONIAL,4 Woodleigh Lane  #10-15 ,1,91,Strata,1688000,-,18549,1723,26-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh
CARIBBEAN AT KEPPEL BAY,30 Keppel Bay Drive  #03-48 ,1,113,Strata,1880000,-,16637,1546,26-Dec-18,Condominium,99 Yrs From 16/08/1999,2004,Resale,Private,4,9,98650,Central Region,Bukit Merah
EIGHT COURTYARDS,14 Canberra Drive  #07-29 ,1,130,Strata,1208888,-,9299,864,26-Dec-18,Condominium,99 Yrs From 20/09/2010,2014,Resale,HDB,27,76,768096,North Region,Yishun
HILLVIEW REGENCY,26 Bukit Batok East Avenue 2  #16-04 ,1,103,Strata,1030000,-,10000,929,26-Dec-18,Condominium,99 Yrs From 20/06/2000,2005,Resale,Private,23,65,659920,West Region,Bukit Batok
THE CREST,109 Prince Charles Crescent  #05-26 ,1,175,Strata,3888000,-,22217,2064,26-Dec-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,Private,3,15,159021,Central Region,Bukit Merah
RIVERSAILS,14 Upper Serangoon Crescent  #14-36 ,1,99,Strata,1200000,-,12121,1126,26-Dec-18,Condominium,99 Yrs From 07/12/2011,2016,Resale,HDB,19,53,534029,North East Region,Hougang
REFLECTIONS AT KEPPEL BAY,27 Keppel Bay View  #09-81 ,1,82,Strata,1450000,-,17683,1643,26-Dec-18,Condominium,99 Yrs From 15/03/2006,2011,Resale,HDB,4,9,98416,Central Region,Bukit Merah
BLUE HORIZON,23 West Coast Crescent  #15-12 ,1,107,Strata,1230000,-,11495,1068,26-Dec-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128046,West Region,Clementi
PARK COLONIAL,12 Woodleigh Lane  #06-55 ,1,131,Strata,2403000,-,18344,1704,26-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh
ARCHIPELAGO,511 Bedok Reservoir Road  #03-38 ,1,78,Strata,1020000,-,13077,1215,26-Dec-18,Condominium,99 Yrs From 01/06/2011,2015,Resale,Private,16,47,479272,East Region,Bedok
THE TAPESTRY,51 Tampines Street 86  #09-07 ,1,41,Strata,645600,-,15746,1463,26-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528539,East Region,Tampines
Q BAY RESIDENCES,15 Tampines Street 86  #13-36 ,1,108,Strata,1330000,-,12315,1144,26-Dec-18,Condominium,99 Yrs From 21/08/2012,2016,Resale,HDB,18,52,528590,East Region,Tampines
YISHUN EMERALD,26 Canberra Drive  #03-16 ,1,113,Strata,838000,-,7416,689,26-Dec-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,Private,27,76,768428,North Region,Yishun
THE TAPESTRY,51 Tampines Street 86  #10-07 ,1,41,Strata,648800,-,15824,1470,24-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528539,East Region,Tampines
PARK COLONIAL,2 Woodleigh Lane  #05-08 ,1,69,Strata,1397000,-,20246,1881,23-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357685,Central Region,Toa Payoh
PARK COLONIAL,12 Woodleigh Lane  #05-53 ,1,59,Strata,1107000,-,18763,1743,23-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh
PARK COLONIAL,6 Woodleigh Lane  #12-23 ,1,87,Strata,1582000,-,18184,1689,23-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357687,Central Region,Toa Payoh
GRANDEUR PARK RESIDENCES,9 Bedok South Avenue 3  #05-40 ,1,115,Strata,1850000,-,16087,1495,23-Dec-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,N.A,16,46,465465,East Region,Bedok
PARK COLONIAL,6 Woodleigh Lane  #01-19 ,1,127,Strata,2265000,-,17835,1657,23-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh
THE TAPESTRY,53 Tampines Street 86  #14-21 ,1,56,Strata,880000,-,15714,1460,22-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528540,East Region,Tampines
MAYFAIR GARDENS,12 Rifle Range Road  #04-29 ,1,66,Strata,1438000,-,21788,2024,22-Dec-18,Condominium,99 Yrs From 26/09/2018,Uncompleted,New Sale,Private,21,58,588378,Central Region,Bukit Timah
PARK COLONIAL,4 Woodleigh Lane  #10-10 ,1,91,Strata,1634000,-,17956,1668,21-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh
THE BAYSHORE,26 Bayshore Road  #06-05 ,1,117,Strata,1035000,-,8846,822,21-Dec-18,Condominium,99 Yrs From 31/05/1993,1996,Resale,Private,16,46,469972,East Region,Bedok
THE CLEARWATER,8 Bedok Reservoir View  #03-23 ,1,128,Strata,1292000,-,10094,938,21-Dec-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,HDB,16,47,479235,East Region,Bedok
EIGHT RIVERSUITES,8 Whampoa East  #15-21 ,1,41,Strata,708000,-,17268,1604,21-Dec-18,Condominium,99 Yrs From 11/07/2011,2016,Resale,Private,12,33,338520,Central Region,Kallang
SKIES MILTONIA,33 Miltonia Close  #06-28 ,1,122,Strata,1300000,-,10656,990,21-Dec-18,Condominium,99 Yrs From 20/02/2012,2016,Resale,Private,27,76,768064,North Region,Yishun
RIVERSAILS,24 Upper Serangoon Crescent  #10-58 ,1,79,Strata,905000,-,11456,1064,21-Dec-18,Condominium,99 Yrs From 07/12/2011,2016,Resale,HDB,19,53,534024,North East Region,Hougang
THE TAPESTRY,59 Tampines Street 86  #10-37 ,1,56,Strata,860800,-,15371,1428,21-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528509,East Region,Tampines
EIGHT COURTYARDS,2 Canberra Drive  #10-01 ,1,51,Strata,640000,-,12549,1166,21-Dec-18,Condominium,99 Yrs From 20/09/2010,2014,Resale,Private,27,76,768138,North Region,Yishun
PARC OLYMPIA,56 Flora Drive  #04-30 ,1,60,Strata,650000,-,10833,1006,21-Dec-18,Condominium,99 Yrs From 25/01/2012,2015,Resale,HDB,17,50,506856,East Region,Pasir Ris
SEASONS PARK,499 Yio Chu Kang Road  #03-07 ,1,103,Strata,900000,-,8738,812,21-Dec-18,Condominium,99 Yrs From 01/03/1995,1997,Resale,Private,26,78,787082,North East Region,Ang Mo Kio
FORESQUE RESIDENCES,105 Petir Road  #07-12 ,1,105,Strata,1308000,-,12457,1157,21-Dec-18,Condominium,99 Yrs From 10/01/2011,2014,Resale,HDB,23,67,678274,West Region,Bukit Panjang
PARK COLONIAL,2 Woodleigh Lane  #07-02 ,1,116,Strata,2169000,-,18698,1737,21-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh
RIVER ISLES,68 Edgedale Plains  #08-34 ,1,106,Strata,1100000,-,10377,964,21-Dec-18,Condominium,99 Yrs From 06/02/2012,2015,Resale,HDB,19,82,828733,North East Region,Punggol
RIVERSAILS,8 Upper Serangoon Crescent  #15-17 ,1,103,Strata,1195000,-,11602,1078,21-Dec-18,Condominium,99 Yrs From 07/12/2011,2016,Resale,HDB,19,53,534032,North East Region,Hougang
THE TAPESTRY,53 Tampines Street 86  #10-17 ,1,64,Strata,945600,-,14775,1373,21-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines
AQUARIUS BY THE PARK,15 Bedok Reservoir View  #07-01 ,1,83,Strata,827000,-,9964,926,21-Dec-18,Condominium,99 Yrs From 12/06/1996,2000,Resale,Private,16,47,478933,East Region,Bedok
THE LAKESHORE,31 Jurong West Street 41  #16-23 ,1,108,Strata,1270000,-,11759,1092,21-Dec-18,Condominium,99 Yrs From 22/11/2002,2008,Resale,Private,22,64,649412,West Region,Jurong West
EUPHONY GARDENS,3 Jalan Mata Ayer  #01-09 ,1,148,Strata,938888,-,6344,589,21-Dec-18,Condominium,99 Yrs From 25/02/1998,2001,Resale,HDB,27,75,759150,North Region,Mandai
