Planning Area,Transacted Price ($),,,,,,,,
Bukit Panjang,1365000,,,,,,,,
Bedok,855000,,,,,,,,
Pasir Ris,868000,,,,,,,,
Tampines,930000,,,,,,,,
Pasir Ris,1175000,,,,,,,,
Bedok,1558000,,,,,,,,
Pasir Ris,925000,,,,,,,,
Tampines,855360,,,,,,,,
Bedok,1300000,,,,,,,,
Bedok,968888,,,,,,,,
Bukit Merah,2966000,,,,,,,,
Clementi,1300000,,,,,,,,
Bedok,1305000,,,,,,,,
Choa Chu Kang,815000,,,,,,,,
Pasir Ris,570000,,,,,,,,
Toa Payoh,1614000,,,,,,,,
Bedok,1740000,,,,,,,,
Bukit Merah,2330000,,,,,,,,
Woodlands,940000,,,,,,,,
Sengkang,625800,,,,,,,,
Pasir Ris,998000,,,,,,,,
Sengkang,890000,,,,,,,,
Bedok,1909000,,,,,,,,
Woodlands,883000,,,,,,,,
Marine Parade,990000,,,,,,,,
Bukit Merah,2920000,,,,,,,,
Serangoon,1820000,,,,,,,,
Jurong West,1150000,,,,,,,,
Pasir Ris,1350000,,,,,,,,
Pasir Ris,1150000,,,,,,,,
Tampines,647190,,,,,,,,
Ang Mo Kio,1000000,,,,,,,,
Pasir Ris,855000,,,,,,,,
Hougang,1050000,,,,,,,,
Bukit Merah,2550000,,,,,,,,
Toa Payoh,1554000,,,,,,,,
Clementi,1220000,,,,,,,,
Yishun,795000,,,,,,,,
Bedok,670000,,,,,,,,
Sengkang,696000,,,,,,,,
Jurong West,1030000,,,,,,,,
Yishun,930000,,,,,,,,
Clementi,1170000,,,,,,,,
Bukit Merah,2730000,,,,,,,,
Queenstown,1659000,,,,,,,,
Jurong West,1020000,,,,,,,,
Bukit Merah,1500000,,,,,,,,
Pasir Ris,865000,,,,,,,,
Yishun,725000,,,,,,,,
Kallang,1280000,,,,,,,,
Tampines,1277370,,,,,,,,
Toa Payoh,1954000,,,,,,,,
Tampines,697000,,,,,,,,
Tampines,845640,,,,,,,,
Tampines,957600,,,,,,,,
Bukit Timah,1090000,,,,,,,,
Kallang,1070000,,,,,,,,
Sengkang,1500000,,,,,,,,
Sengkang,1315112,,,,,,,,
Yishun,750000,,,,,,,,
Bedok,1650000,,,,,,,,
Clementi,1615000,,,,,,,,
Ang Mo Kio,800000,,,,,,,,
Bukit Merah,3818000,,,,,,,,
Tampines,980000,,,,,,,,
Bedok,1722000,,,,,,,,
Yishun,870000,,,,,,,,
Sengkang,704000,,,,,,,,
Bishan,883000,,,,,,,,
Marine Parade,1500000,,,,,,,,
Clementi,1000000,,,,,,,,
Bukit Panjang,1260000,,,,,,,,
Punggol,885000,,,,,,,,
Bedok,680000,,,,,,,,
Queenstown,1100000,,,,,,,,
Jurong West,1180000,,,,,,,,
Kallang,730000,,,,,,,,
Pasir Ris,1170000,,,,,,,,
Bukit Merah,3440000,,,,,,,,
Bukit Merah,1710000,,,,,,,,
Sembawang,830000,,,,,,,,
Sengkang,847000,,,,,,,,
Sengkang,855000,,,,,,,,
Queenstown,1870000,,,,,,,,
Sembawang,910100,,,,,,,,
Queenstown,1885000,,,,,,,,
Queenstown,1617660,,,,,,,,
Tampines,805600,,,,,,,,
Queenstown,1746000,,,,,,,,
Tampines,840000,,,,,,,,
Queenstown,1739000,,,,,,,,
Queenstown,1659000,,,,,,,,
Geylang,1919700,,,,,,,,
Clementi,1888000,,,,,,,,
Marine Parade,1400000,,,,,,,,
River Valley,3097000,,,,,,,,
Bedok,1705000,,,,,,,,
Bedok,1000000,,,,,,,,
Tampines,1109000,,,,,,,,
Bukit Merah,1760000,,,,,,,,
Hougang,1070000,,,,,,,,
Pasir Ris,830000,,,,,,,,
Geylang,1710000,,,,,,,,
Pasir Ris,1200000,,,,,,,,
Bukit Panjang,1288000,,,,,,,,
Tampines,1250000,,,,,,,,
Sengkang,928000,,,,,,,,
Bukit Timah,1150000,,,,,,,,
Toa Payoh,730000,,,,,,,,
Toa Payoh,940000,,,,,,,,
Sengkang,823000,,,,,,,,
Bukit Merah,1597000,,,,,,,,
Bedok,710000,,,,,,,,
Hougang,925000,,,,,,,,
Sengkang,676000,,,,,,,,
Bukit Merah,1690000,,,,,,,,
Sengkang,703000,,,,,,,,
Bukit Timah,1480000,,,,,,,,
Sengkang,840000,,,,,,,,
Bukit Batok,880000,,,,,,,,
Tampines,900000,,,,,,,,
Yishun,800000,,,,,,,,
Kallang,2850000,,,,,,,,
Geylang,1700000,,,,,,,,
Bukit Batok,850000,,,,,,,,
Sengkang,834000,,,,,,,,
Bishan,2150000,,,,,,,,
Tampines,641750,,,,,,,,
Hougang,1200000,,,,,,,,
Bedok,1900000,,,,,,,,
Choa Chu Kang,1078000,,,,,,,,
Bukit Batok,1012688,,,,,,,,
Bedok,1718000,,,,,,,,
Bishan,1778500,,,,,,,,
Tampines,1018000,,,,,,,,
Serangoon,575000,,,,,,,,
Tampines,1256800,,,,,,,,
Woodlands,825000,,,,,,,,
Marine Parade,1600000,,,,,,,,
Tampines,1281420,,,,,,,,
Bukit Batok,1600000,,,,,,,,
Hougang,1400000,,,,,,,,
Jurong West,775000,,,,,,,,
Bedok,1700000,,,,,,,,
Bedok,1008000,,,,,,,,
Pasir Ris,1190000,,,,,,,,
Queenstown,1100000,,,,,,,,
Sembawang,1480000,,,,,,,,
Bedok,1230000,,,,,,,,
Bedok,985000,,,,,,,,
Pasir Ris,1020000,,,,,,,,
Bedok,760000,,,,,,,,
Serangoon,693000,,,,,,,,
Bukit Merah,1510500,,,,,,,,
Yishun,930000,,,,,,,,
Toa Payoh,1050000,,,,,,,,
Toa Payoh,4515000,,,,,,,,
Jurong West,1140000,,,,,,,,
Sengkang,1045000,,,,,,,,
Queenstown,1400000,,,,,,,,
Kallang,975000,,,,,,,,
Bukit Merah,2600000,,,,,,,,
Jurong East,1062000,,,,,,,,
Choa Chu Kang,968000,,,,,,,,
Ang Mo Kio,1170000,,,,,,,,
Bukit Batok,653000,,,,,,,,
Tampines,690440,,,,,,,,
Bukit Merah,1759000,,,,,,,,
Bukit Merah,2230000,,,,,,,,
Bedok,1180000,,,,,,,,
Sengkang,607000,,,,,,,,
Choa Chu Kang,850000,,,,,,,,
Ang Mo Kio,820000,,,,,,,,
Bedok,1210000,,,,,,,,
Bukit Timah,1750000,,,,,,,,
Tampines,667000,,,,,,,,
Bukit Panjang,1395000,,,,,,,,
Tampines,828888,,,,,,,,
Bukit Merah,1590000,,,,,,,,
Bukit Merah,1550000,,,,,,,,
Pasir Ris,800000,,,,,,,,
Bedok,1200000,,,,,,,,
Sengkang,1200000,,,,,,,,
Clementi,758000,,,,,,,,
Tampines,920000,,,,,,,,
Tampines,953600,,,,,,,,
Clementi,1758000,,,,,,,,
Tampines,1200000,,,,,,,,
Sembawang,970000,,,,,,,,
Tampines,1238000,,,,,,,,
Jurong West,1368000,,,,,,,,
Bishan,1850200,,,,,,,,
Queenstown,1480000,,,,,,,,
Clementi,1050000,,,,,,,,
Novena,2730000,,,,,,,,
Queenstown,1450000,,,,,,,,
Novena,2150000,,,,,,,,
Tampines,920000,,,,,,,,
Jurong West,1210000,,,,,,,,
Bukit Batok,790000,,,,,,,,
Ang Mo Kio,1150000,,,,,,,,
Bedok,1520000,,,,,,,,
Hougang,1270000,,,,,,,,
Mandai,730000,,,,,,,,
Bedok,910000,,,,,,,,
Rochor,1265000,,,,,,,,
Clementi,1030000,,,,,,,,
Clementi,1670000,,,,,,,,
Sengkang,1318112,,,,,,,,
Novena,2030000,,,,,,,,
Tampines,643950,,,,,,,,
Pasir Ris,940000,,,,,,,,
Pasir Ris,762000,,,,,,,,
Hougang,1120000,,,,,,,,
Bishan,1280000,,,,,,,,
Southern Islands,3300000,,,,,,,,
Ang Mo Kio,1400000,,,,,,,,
Southern Islands,4744300,,,,,,,,
Clementi,1437000,,,,,,,,
Bukit Batok,862800,,,,,,,,
Yishun,980000,,,,,,,,
Bedok,1420000,,,,,,,,
Sengkang,1585000,,,,,,,,
Clementi,1260000,,,,,,,,
Bishan,1400000,,,,,,,,
Sengkang,819000,,,,,,,,
Tampines,1060000,,,,,,,,
Pasir Ris,620000,,,,,,,,
Bukit Merah,3500000,,,,,,,,
Clementi,1320000,,,,,,,,
Hougang,1440000,,,,,,,,
Ang Mo Kio,1230000,,,,,,,,
Bukit Merah,2994000,,,,,,,,
Bukit Merah,1480000,,,,,,,,
Bukit Timah,1235000,,,,,,,,
Pasir Ris,1020000,,,,,,,,
Bedok,1330000,,,,,,,,
Bishan,1520000,,,,,,,,
Ang Mo Kio,1080000,,,,,,,,
Tampines,1100000,,,,,,,,
Ang Mo Kio,1170000,,,,,,,,
Yishun,740000,,,,,,,,
Bukit Timah,1155000,,,,,,,,
Hougang,1180000,,,,,,,,
Hougang,913000,,,,,,,,
Queenstown,1180000,,,,,,,,
Bukit Panjang,1285000,,,,,,,,
Pasir Ris,995000,,,,,,,,
Bukit Panjang,885000,,,,,,,,
Toa Payoh,1949000,,,,,,,,
Sengkang,908000,,,,,,,,
Queenstown,1724000,,,,,,,,
Toa Payoh,1898000,,,,,,,,
Queenstown,1666000,,,,,,,,
Sengkang,673000,,,,,,,,
Tampines,1677510,,,,,,,,
Sembawang,914000,,,,,,,,
Tampines,1739200,,,,,,,,
Tampines,724950,,,,,,,,
Tampines,680600,,,,,,,,
Serangoon,1448000,,,,,,,,
Bukit Panjang,1400000,,,,,,,,
Serangoon,1453000,,,,,,,,
Pasir Ris,850000,,,,,,,,
Sembawang,1160000,,,,,,,,
Kallang,1500000,,,,,,,,
Bukit Timah,3680000,,,,,,,,
Bedok,1200000,,,,,,,,
Yishun,1005000,,,,,,,,
Bukit Merah,1555000,,,,,,,,
Toa Payoh,920000,,,,,,,,
Bukit Merah,2499000,,,,,,,,
Bishan,1601900,,,,,,,,
Kallang,760000,,,,,,,,
Bedok,800000,,,,,,,,
Serangoon,582000,,,,,,,,
Bukit Merah,1950000,,,,,,,,
Sengkang,881000,,,,,,,,
Clementi,942000,,,,,,,,
Punggol,1103000,,,,,,,,
Sengkang,815000,,,,,,,,
Bukit Panjang,1400000,,,,,,,,
Kallang,1070000,,,,,,,,
Bedok,1775000,,,,,,,,
Punggol,1239999,,,,,,,,
Bedok,780000,,,,,,,,
Kallang,743000,,,,,,,,
Bedok,1800000,,,,,,,,
Bukit Timah,6259920,,,,,,,,
Geylang,1200000,,,,,,,,
Bukit Merah,1400000,,,,,,,,
Tampines,640710,,,,,,,,
Singapore River,1810000,,,,,,,,
Bedok,1930000,,,,,,,,
Sengkang,1050000,,,,,,,,
Sengkang,1124112,,,,,,,,
Hougang,865000,,,,,,,,
Bukit Panjang,1390000,,,,,,,,
Choa Chu Kang,1226000,,,,,,,,
Sengkang,1250000,,,,,,,,
Punggol,990000,,,,,,,,
Pasir Ris,940000,,,,,,,,
Punggol,1320000,,,,,,,,
Ang Mo Kio,950000,,,,,,,,
Jurong West,950000,,,,,,,,
Ang Mo Kio,1088000,,,,,,,,
Sengkang,1070000,,,,,,,,
Pasir Ris,560000,,,,,,,,
Choa Chu Kang,780000,,,,,,,,
Sengkang,905000,,,,,,,,
Bedok,1120000,,,,,,,,
Woodlands,930000,,,,,,,,
Bukit Merah,1388000,,,,,,,,
Bukit Panjang,1590000,,,,,,,,
Tampines,1226340,,,,,,,,
Punggol,912000,,,,,,,,
Serangoon,575000,,,,,,,,
Tampines,988000,,,,,,,,
Bedok,1700000,,,,,,,,
Hougang,760000,,,,,,,,
Geylang,1777900,,,,,,,,
Queenstown,1643000,,,,,,,,
Sengkang,815000,,,,,,,,
Clementi,1140000,,,,,,,,
Tampines,1737450,,,,,,,,
Woodlands,754000,,,,,,,,
Bukit Timah,1198000,,,,,,,,
Toa Payoh,735000,,,,,,,,
Hougang,1370000,,,,,,,,
Ang Mo Kio,948000,,,,,,,,
Pasir Ris,560000,,,,,,,,
Punggol,1338000,,,,,,,,
Bedok,1020000,,,,,,,,
Hougang,1435000,,,,,,,,
Serangoon,1260000,,,,,,,,
Bedok,708888,,,,,,,,
Jurong West,1100000,,,,,,,,
Yishun,895000,,,,,,,,
Bishan,1300000,,,,,,,,
Pasir Ris,1000000,,,,,,,,
Jurong West,1680000,,,,,,,,
Toa Payoh,1220000,,,,,,,,
Punggol,1088000,,,,,,,,
Novena,2000000,,,,,,,,
Novena,401777000,,,,,,,,
Bishan,1840300,,,,,,,,
Queenstown,1470000,,,,,,,,
Pasir Ris,1705600,,,,,,,,
Toa Payoh,1340000,,,,,,,,
Bukit Merah,998000,,,,,,,,
Singapore River,1160000,,,,,,,,
Serangoon,1306000,,,,,,,,
Geylang,3770000,,,,,,,,
Bukit Timah,1300000,,,,,,,,
Punggol,900000,,,,,,,,
Bedok,945000,,,,,,,,
Bishan,1300000,,,,,,,,
Tampines,940000,,,,,,,,
Kallang,1432888,,,,,,,,
Tampines,1250000,,,,,,,,
Bukit Merah,2520000,,,,,,,,
Bukit Timah,6648160,,,,,,,,
Kallang,1386000,,,,,,,,
Hougang,827500,,,,,,,,
Hougang,730000,,,,,,,,
Toa Payoh,1130000,,,,,,,,
Geylang,1030000,,,,,,,,
Bukit Merah,2380000,,,,,,,,
Clementi,1775000,,,,,,,,
Hougang,900000,,,,,,,,
Pasir Ris,1248000,,,,,,,,
Bukit Merah,2030000,,,,,,,,
Clementi,1265000,,,,,,,,
Bukit Panjang,855000,,,,,,,,
Clementi,1563000,,,,,,,,
Pasir Ris,830000,,,,,,,,
Pasir Ris,880000,,,,,,,,
Sengkang,999000,,,,,,,,
Bukit Merah,1490000,,,,,,,,
Bukit Merah,5224000,,,,,,,,
Toa Payoh,1969000,,,,,,,,
Clementi,1258000,,,,,,,,
Tampines,1012500,,,,,,,,
Pasir Ris,1980000,,,,,,,,
Clementi,1205000,,,,,,,,
Newton,5900000,,,,,,,,
Pasir Ris,700000,,,,,,,,
Bukit Merah,2088000,,,,,,,,
Sengkang,919000,,,,,,,,
Tanglin,2520000,,,,,,,,
Geylang,1440000,,,,,,,,
Queenstown,1520000,,,,,,,,
Tampines,1300000,,,,,,,,
Punggol,1550000,,,,,,,,
Pasir Ris,1285000,,,,,,,,
Sengkang,1152112,,,,,,,,
Kallang,2380000,,,,,,,,
Tampines,1271700,,,,,,,,
Bukit Timah,5005040,,,,,,,,
Sembawang,899000,,,,,,,,
Bukit Merah,1770000,,,,,,,,
Sembawang,950000,,,,,,,,
Hougang,1080000,,,,,,,,
Bedok,1570000,,,,,,,,
Clementi,935000,,,,,,,,
Woodlands,830000,,,,,,,,
Bedok,1070000,,,,,,,,
Hougang,685000,,,,,,,,
Pasir Ris,1300000,,,,,,,,
Tampines,1360000,,,,,,,,
Hougang,970000,,,,,,,,
Tampines,715000,,,,,,,,
Tampines,1150000,,,,,,,,
Hougang,950000,,,,,,,,
Pasir Ris,2163160,,,,,,,,
Sengkang,711000,,,,,,,,
Tampines,1266030,,,,,,,,
Toa Payoh,2248000,,,,,,,,
Tampines,645570,,,,,,,,
Sembawang,898500,,,,,,,,
Tampines,1730970,,,,,,,,
Tampines,1208800,,,,,,,,
Sengkang,1570000,,,,,,,,
Tampines,804800,,,,,,,,
Tampines,1254690,,,,,,,,
Tampines,792800,,,,,,,,
Tampines,1435000,,,,,,,,
Ang Mo Kio,975000,,,,,,,,
Tampines,643950,,,,,,,,
Bedok,980000,,,,,,,,
Toa Payoh,1862000,,,,,,,,
Bukit Panjang,970888,,,,,,,,
Bukit Merah,2505000,,,,,,,,
Hougang,1080000,,,,,,,,
Bedok,1273112,,,,,,,,
Toa Payoh,1780000,,,,,,,,
Toa Payoh,1979000,,,,,,,,
Bedok,1180000,,,,,,,,
Bukit Merah,1695000,,,,,,,,
Tampines,1146400,,,,,,,,
Clementi,921000,,,,,,,,
Kallang,1608000,,,,,,,,
Hougang,956000,,,,,,,,
Pasir Ris,1020000,,,,,,,,
Bukit Timah,1550000,,,,,,,,
Bukit Merah,2580000,,,,,,,,
Pasir Ris,706000,,,,,,,,
Bukit Timah,1140000,,,,,,,,
Toa Payoh,1743390,,,,,,,,
Bedok,1680000,,,,,,,,
Pasir Ris,990000,,,,,,,,
Kallang,1680000,,,,,,,,
Bukit Merah,1725000,,,,,,,,
Pasir Ris,1099888,,,,,,,,
Bukit Merah,2925000,,,,,,,,
Hougang,2218000,,,,,,,,
Bukit Merah,2232000,,,,,,,,
Hougang,1010000,,,,,,,,
Queenstown,1689000,,,,,,,,
Novena,1740000,,,,,,,,
Bedok,1200000,,,,,,,,
Jurong West,1280000,,,,,,,,
Novena,2850000,,,,,,,,
Bukit Panjang,1550000,,,,,,,,
Jurong West,1280000,,,,,,,,
Tampines,1280000,,,,,,,,
Bedok,1080000,,,,,,,,
Toa Payoh,1580000,,,,,,,,
Tampines,848800,,,,,,,,
Kallang,1700000,,,,,,,,
Bukit Merah,1760000,,,,,,,,
Hougang,1500000,,,,,,,,
Sengkang,1030000,,,,,,,,
Tampines,960000,,,,,,,,
Kallang,2200000,,,,,,,,
Punggol,1650000,,,,,,,,
Bukit Batok,1300000,,,,,,,,
Clementi,1200000,,,,,,,,
Kallang,1150000,,,,,,,,
Tampines,897000,,,,,,,,
Bukit Merah,3146000,,,,,,,,
Yishun,988000,,,,,,,,
Bishan,1580000,,,,,,,,
Pasir Ris,1055000,,,,,,,,
Clementi,1470000,,,,,,,,
Bukit Timah,1470000,,,,,,,,
Toa Payoh,1628000,,,,,,,,
Bukit Merah,1070000,,,,,,,,
Jurong East,1110000,,,,,,,,
Bukit Merah,2000000,,,,,,,,
Bedok,980000,,,,,,,,
Tampines,665010,,,,,,,,
Bishan,1235000,,,,,,,,
Bukit Timah,3625000,,,,,,,,
Tampines,1230000,,,,,,,,
Bedok,1608888,,,,,,,,
Bedok,1160000,,,,,,,,
Bishan,2180000,,,,,,,,
Toa Payoh,1200000,,,,,,,,
Pasir Ris,845000,,,,,,,,
Woodlands,1430000,,,,,,,,
Bishan,868000,,,,,,,,
Pasir Ris,875000,,,,,,,,
Bedok,1143000,,,,,,,,
Sengkang,703000,,,,,,,,
Bedok,880000,,,,,,,,
Kallang,730000,,,,,,,,
Pasir Ris,1330000,,,,,,,,
Bukit Batok,1061650,,,,,,,,
Serangoon,1285000,,,,,,,,
Pasir Ris,1100000,,,,,,,,
Kallang,1040000,,,,,,,,
Tampines,1421000,,,,,,,,
Tampines,694980,,,,,,,,
Bukit Timah,1290000,,,,,,,,
Hougang,1050000,,,,,,,,
Bukit Merah,2600000,,,,,,,,
Hougang,1210000,,,,,,,,
Tampines,872370,,,,,,,,
Hougang,938000,,,,,,,,
Tampines,715230,,,,,,,,
Sengkang,780000,,,,,,,,
Sengkang,833000,,,,,,,,
Toa Payoh,1810000,,,,,,,,
Tampines,1244000,,,,,,,,
Bukit Batok,730000,,,,,,,,
Yishun,1130000,,,,,,,,
Jurong East,1055000,,,,,,,,
Bukit Merah,1588000,,,,,,,,
Punggol,1410000,,,,,,,,
Jurong West,1040000,,,,,,,,
Jurong West,1280000,,,,,,,,
Toa Payoh,1035000,,,,,,,,
Bedok,1160000,,,,,,,,
Pasir Ris,648000,,,,,,,,
Clementi,1000000,,,,,,,,
Clementi,1185000,,,,,,,,
Bukit Panjang,1430000,,,,,,,,
Choa Chu Kang,700000,,,,,,,,
Punggol,1150000,,,,,,,,
Sengkang,890000,,,,,,,,
Bukit Merah,1921000,,,,,,,,
Toa Payoh,1300000,,,,,,,,
Woodlands,760000,,,,,,,,
Choa Chu Kang,1168000,,,,,,,,
Clementi,1684000,,,,,,,,
Pasir Ris,1750000,,,,,,,,
Pasir Ris,1439000,,,,,,,,
Sembawang,1238000,,,,,,,,
Punggol,910000,,,,,,,,
Yishun,1220000,,,,,,,,
Hougang,860000,,,,,,,,
Yishun,770000,,,,,,,,
Jurong West,1002000,,,,,,,,
Kallang,1600000,,,,,,,,
Ang Mo Kio,980000,,,,,,,,
Hougang,1180000,,,,,,,,
Sengkang,885000,,,,,,,,
Bishan,1150800,,,,,,,,
Downtown Core,1550000,,,,,,,,
Southern Islands,3800000,,,,,,,,
Bukit Merah,2266400,,,,,,,,
Bukit Merah,1862000,,,,,,,,
Kallang,1090000,,,,,,,,
Bishan,1865900,,,,,,,,
Kallang,1275000,,,,,,,,
Marine Parade,1925000,,,,,,,,
Clementi,1290000,,,,,,,,
Sengkang,1080000,,,,,,,,
Marine Parade,1480000,,,,,,,,
Toa Payoh,1050000,,,,,,,,
Bishan,1150000,,,,,,,,
Queenstown,1732000,,,,,,,,
Yishun,735000,,,,,,,,
Bukit Panjang,995000,,,,,,,,
Bukit Merah,1770000,,,,,,,,
Hougang,1600000,,,,,,,,
Bukit Timah,3250000,,,,,,,,
Yishun,880000,,,,,,,,
Bukit Batok,935000,,,,,,,,
Bishan,1450000,,,,,,,,
Hougang,1030000,,,,,,,,
Bedok,2638000,,,,,,,,
Kallang,1630000,,,,,,,,
Tampines,796800,,,,,,,,
Tampines,1600000,,,,,,,,
Southern Islands,2780000,,,,,,,,
Sengkang,706000,,,,,,,,
Tampines,1520370,,,,,,,,
Sengkang,673000,,,,,,,,
Sengkang,689000,,,,,,,,
Tampines,669870,,,,,,,,
Tampines,728190,,,,,,,,
Tampines,895860,,,,,,,,
Tampines,880470,,,,,,,,
Tampines,941600,,,,,,,,
Sengkang,908000,,,,,,,,
Tampines,691740,,,,,,,,
Tampines,701460,,,,,,,,
Serangoon,1898000,,,,,,,,
Tampines,750870,,,,,,,,
Tampines,685260,,,,,,,,
Tampines,655290,,,,,,,,
Tampines,1380000,,,,,,,,
Tampines,937600,,,,,,,,
Tampines,731430,,,,,,,,
Marine Parade,4700000,,,,,,,,
Bishan,2091500,,,,,,,,
Sengkang,660000,,,,,,,,
Sengkang,625000,,,,,,,,
Tampines,820000,,,,,,,,
Tampines,960888,,,,,,,,
Bukit Panjang,790000,,,,,,,,
Jurong West,1370000,,,,,,,,
Clementi,1800000,,,,,,,,
Bukit Batok,950000,,,,,,,,
Bedok,920000,,,,,,,,
Sengkang,953000,,,,,,,,
Marine Parade,2800000,,,,,,,,
Sengkang,1608000,,,,,,,,
Toa Payoh,1100000,,,,,,,,
Bishan,1360000,,,,,,,,
Bukit Merah,1651000,,,,,,,,
Bukit Batok,968000,,,,,,,,
Bukit Panjang,1125000,,,,,,,,
Clementi,1318000,,,,,,,,
Singapore River,2300000,,,,,,,,
Clementi,1488000,,,,,,,,
Toa Payoh,1854000,,,,,,,,
Marine Parade,1450000,,,,,,,,
Bedok,660000,,,,,,,,
Sengkang,1220000,,,,,,,,
Tampines,940000,,,,,,,,
Singapore River,1080000,,,,,,,,
Clementi,1500000,,,,,,,,
Tampines,1320000,,,,,,,,
Choa Chu Kang,1068000,,,,,,,,
Bukit Merah,2489600,,,,,,,,
Sengkang,925000,,,,,,,,
Bedok,1480000,,,,,,,,
Pasir Ris,850000,,,,,,,,
Kallang,1420000,,,,,,,,
Tampines,1703430,,,,,,,,
Sengkang,1260000,,,,,,,,
Bedok,1820000,,,,,,,,
Pasir Ris,1140000,,,,,,,,
Ang Mo Kio,1061000,,,,,,,,
Bukit Timah,950000,,,,,,,,
Yishun,810000,,,,,,,,
Kallang,1880000,,,,,,,,
Yishun,855000,,,,,,,,
Marine Parade,1158888,,,,,,,,
Tampines,2100000,,,,,,,,
Bukit Panjang,1380000,,,,,,,,
Singapore River,1180000,,,,,,,,
Marine Parade,2222800,,,,,,,,
Bedok,1125000,,,,,,,,
Pasir Ris,1039000,,,,,,,,
Bishan,888000,,,,,,,,
Jurong West,1080000,,,,,,,,
Hougang,988000,,,,,,,,
Tampines,1776330,,,,,,,,
Toa Payoh,2020000,,,,,,,,
Kallang,1600000,,,,,,,,
Pasir Ris,615000,,,,,,,,
Tampines,998000,,,,,,,,
Bukit Merah,2060000,,,,,,,,
Ang Mo Kio,1241000,,,,,,,,
Tampines,730000,,,,,,,,
Bukit Merah,2600000,,,,,,,,
Bukit Merah,3017600,,,,,,,,
Tampines,1020000,,,,,,,,
Bukit Timah,1230000,,,,,,,,
Toa Payoh,1750000,,,,,,,,
Woodlands,1230000,,,,,,,,
Tampines,1700000,,,,,,,,
Sengkang,1125000,,,,,,,,
Yishun,760000,,,,,,,,
Bedok,1300000,,,,,,,,
Tampines,1749600,,,,,,,,
Ang Mo Kio,1210000,,,,,,,,
Bukit Merah,2070000,,,,,,,,
Clementi,940000,,,,,,,,
Novena,1785000,,,,,,,,
Yishun,1233000,,,,,,,,
Pasir Ris,1400000,,,,,,,,
Punggol,1900000,,,,,,,,
Bedok,1400000,,,,,,,,
Bukit Merah,2542000,,,,,,,,
Bedok,1230000,,,,,,,,
Bishan,1257000,,,,,,,,
Yishun,1040000,,,,,,,,
Toa Payoh,1090000,,,,,,,,
Bukit Timah,6240600,,,,,,,,
Pasir Ris,1078000,,,,,,,,
Queenstown,1480000,,,,,,,,
Tampines,966000,,,,,,,,
Sengkang,865000,,,,,,,,
Bukit Merah,1950000,,,,,,,,
Novena,1087000,,,,,,,,
Bedok,1857000,,,,,,,,
Pasir Ris,835000,,,,,,,,
Pasir Ris,958000,,,,,,,,
Jurong West,1260000,,,,,,,,
Sengkang,685000,,,,,,,,
Hougang,740000,,,,,,,,
Bukit Merah,1710000,,,,,,,,
Queenstown,1200000,,,,,,,,
Hougang,1067000,,,,,,,,
Bukit Merah,2154400,,,,,,,,
Bedok,1838000,,,,,,,,
Tampines,1716390,,,,,,,,
Woodlands,1300000,,,,,,,,
Tampines,971190,,,,,,,,
Geylang,1420000,,,,,,,,
Tampines,1843560,,,,,,,,
Tampines,721710,,,,,,,,
Queenstown,1629000,,,,,,,,
Tampines,1031130,,,,,,,,
Ang Mo Kio,1220000,,,,,,,,
Woodlands,650000,,,,,,,,
Bukit Merah,2210000,,,,,,,,
Queenstown,1160000,,,,,,,,
Hougang,1060000,,,,,,,,
Jurong East,1120000,,,,,,,,
Novena,3000000,,,,,,,,
Toa Payoh,1492000,,,,,,,,
Bukit Merah,3537500,,,,,,,,
Tampines,715000,,,,,,,,
Yishun,950000,,,,,,,,
Sengkang,1050000,,,,,,,,
Hougang,900000,,,,,,,,
Tampines,1210000,,,,,,,,
Toa Payoh,2080000,,,,,,,,
Serangoon,930000,,,,,,,,
Hougang,870000,,,,,,,,
Kallang,1340000,,,,,,,,
Tampines,609120,,,,,,,,
Bukit Merah,2300000,,,,,,,,
Bukit Batok,1270000,,,,,,,,
Hougang,790000,,,,,,,,
Bukit Panjang,880000,,,,,,,,
Toa Payoh,1498000,,,,,,,,
Kallang,1360000,,,,,,,,
Yishun,1200000,,,,,,,,
Bukit Merah,1600000,,,,,,,,
Tampines,1338120,,,,,,,,
Bedok,920000,,,,,,,,
Bedok,835000,,,,,,,,
Pasir Ris,850000,,,,,,,,
Tampines,1196000,,,,,,,,
Pasir Ris,950000,,,,,,,,
Punggol,1136000,,,,,,,,
Jurong West,1350000,,,,,,,,
Jurong West,975000,,,,,,,,
Toa Payoh,1488000,,,,,,,,
Punggol,1050000,,,,,,,,
Queenstown,1825000,,,,,,,,
Bukit Merah,2160000,,,,,,,,
Tampines,841888,,,,,,,,
Queenstown,1927000,,,,,,,,
Queenstown,1770000,,,,,,,,
Tampines,875610,,,,,,,,
Tampines,794400,,,,,,,,
Tampines,711990,,,,,,,,
Tampines,652050,,,,,,,,
Sengkang,893000,,,,,,,,
Tampines,1008450,,,,,,,,
Queenstown,1681000,,,,,,,,
Queenstown,2445300,,,,,,,,
Tampines,701460,,,,,,,,
Tampines,1332450,,,,,,,,
Sengkang,960000,,,,,,,,
Kallang,2350000,,,,,,,,
Tampines,760000,,,,,,,,
Sengkang,938000,,,,,,,,
Kallang,1816050,,,,,,,,
Bukit Merah,2400000,,,,,,,,
Bukit Panjang,880000,,,,,,,,
Serangoon,1360000,,,,,,,,
