Planning Area,Transacted Price ($),,,,,,,,
Kallang,1400000,,,,,,,,
Woodlands,1043000,,,,,,,,
Choa Chu Kang,875000,,,,,,,,
Kallang,1720000,,,,,,,,
Bukit Timah,1135000,,,,,,,,
Bishan,1148300,,,,,,,,
Bukit Timah,1430000,,,,,,,,
Toa Payoh,1147000,,,,,,,,
Toa Payoh,1182000,,,,,,,,
Bishan,1127800,,,,,,,,
Pasir Ris,1170000,,,,,,,,
Bedok,665000,,,,,,,,
Toa Payoh,740000,,,,,,,,
Bukit Timah,1193000,,,,,,,,
Bukit Merah,2800000,,,,,,,,
Punggol,613000,,,,,,,,
Toa Payoh,1527000,,,,,,,,
Bedok,1420000,,,,,,,,
Toa Payoh,963000,,,,,,,,
Bukit Batok,1090000,,,,,,,,
Serangoon,1380000,,,,,,,,
Toa Payoh,1098000,,,,,,,,
Toa Payoh,953000,,,,,,,,
Toa Payoh,1350000,,,,,,,,
Toa Payoh,783000,,,,,,,,
Serangoon,1924000,,,,,,,,
Toa Payoh,1131000,,,,,,,,
Toa Payoh,1066000,,,,,,,,
Bishan,1349300,,,,,,,,
River Valley,2016000,,,,,,,,
Toa Payoh,1038000,,,,,,,,
Bukit Timah,1938000,,,,,,,,
Clementi,2325000,,,,,,,,
Hougang,1100000,,,,,,,,
Punggol,623000,,,,,,,,
Bishan,2079600,,,,,,,,
Pasir Ris,872000,,,,,,,,
Bukit Batok,1118000,,,,,,,,
Pasir Ris,958000,,,,,,,,
Bishan,1277200,,,,,,,,
Bukit Batok,905000,,,,,,,,
Bishan,1141300,,,,,,,,
Woodlands,1270000,,,,,,,,
Woodlands,518000,,,,,,,,
Bishan,2100000,,,,,,,,
Pasir Ris,530000,,,,,,,,
Tampines,1330000,,,,,,,,
Tampines,650000,,,,,,,,
Novena,2800000,,,,,,,,
Bishan,1372000,,,,,,,,
Pasir Ris,860000,,,,,,,,
Tampines,1420000,,,,,,,,
Pasir Ris,624000,,,,,,,,
Hougang,980000,,,,,,,,
Punggol,1470000,,,,,,,,
Bukit Merah,2508000,,,,,,,,
Sengkang,1217000,,,,,,,,
Pasir Ris,800000,,,,,,,,
Yishun,818000,,,,,,,,
Bishan,1440000,,,,,,,,
Geylang,2528000,,,,,,,,
Clementi,1410000,,,,,,,,
Toa Payoh,863000,,,,,,,,
Serangoon,1718000,,,,,,,,
Tampines,1380000,,,,,,,,
Bedok,1550000,,,,,,,,
Pasir Ris,586000,,,,,,,,
Bukit Merah,2465000,,,,,,,,
Bedok,640000,,,,,,,,
Bukit Timah,1768000,,,,,,,,
Tampines,1231200,,,,,,,,
Marine Parade,2450000,,,,,,,,
Toa Payoh,2299000,,,,,,,,
Toa Payoh,1989000,,,,,,,,
Bishan,2887100,,,,,,,,
Geylang,2848000,,,,,,,,
Toa Payoh,2067120,,,,,,,,
Bukit Timah,1320500,,,,,,,,
Bedok,1180000,,,,,,,,
Jurong West,1200000,,,,,,,,
Choa Chu Kang,1110000,,,,,,,,
Bukit Merah,2200000,,,,,,,,
Bukit Timah,1178000,,,,,,,,
River Valley,4944000,,,,,,,,
Geylang,1918000,,,,,,,,
Hougang,905000,,,,,,,,
Geylang,2548000,,,,,,,,
Bishan,4300000,,,,,,,,
Queenstown,1500000,,,,,,,,
Pasir Ris,1218000,,,,,,,,
Geylang,2510000,,,,,,,,
Toa Payoh,943000,,,,,,,,
Queenstown,1206000,,,,,,,,
Hougang,1100000,,,,,,,,
Punggol,1000000,,,,,,,,
Geylang,810000,,,,,,,,
Woodlands,1025000,,,,,,,,
Bukit Merah,2510000,,,,,,,,
Ang Mo Kio,950000,,,,,,,,
Bedok,1300000,,,,,,,,
Punggol,818000,,,,,,,,
Punggol,1300000,,,,,,,,
Bukit Batok,790000,,,,,,,,
Yishun,710000,,,,,,,,
Pasir Ris,800000,,,,,,,,
Bishan,2279600,,,,,,,,
Serangoon,1498900,,,,,,,,
Choa Chu Kang,970000,,,,,,,,
Yishun,980000,,,,,,,,
Jurong West,980000,,,,,,,,
Jurong West,1400000,,,,,,,,
Choa Chu Kang,913000,,,,,,,,
Geylang,2498000,,,,,,,,
Toa Payoh,1063000,,,,,,,,
Tampines,1168000,,,,,,,,
Toa Payoh,975000,,,,,,,,
Pasir Ris,691000,,,,,,,,
Toa Payoh,1220000,,,,,,,,
Bishan,1497800,,,,,,,,
Toa Payoh,1089000,,,,,,,,
Toa Payoh,979000,,,,,,,,
Toa Payoh,1191000,,,,,,,,
Toa Payoh,1239000,,,,,,,,
Sengkang,1275000,,,,,,,,
Punggol,1680000,,,,,,,,
Bukit Batok,980000,,,,,,,,
Clementi,1100000,,,,,,,,
Toa Payoh,1125000,,,,,,,,
Kallang,3000000,,,,,,,,
Pasir Ris,766800,,,,,,,,
Pasir Ris,1150000,,,,,,,,
Hougang,950888,,,,,,,,
Jurong West,1220000,,,,,,,,
Pasir Ris,1208000,,,,,,,,
Bukit Panjang,1420000,,,,,,,,
Toa Payoh,1085000,,,,,,,,
Bishan,2100000,,,,,,,,
Bukit Merah,1720000,,,,,,,,
Punggol,1340000,,,,,,,,
Bishan,1120000,,,,,,,,
Jurong East,1050000,,,,,,,,
Bukit Timah,1800000,,,,,,,,
Sembawang,830000,,,,,,,,
Kallang,1628000,,,,,,,,
Bishan,1080000,,,,,,,,
Kallang,1450000,,,,,,,,
Sengkang,1546000,,,,,,,,
Bishan,965600,,,,,,,,
Toa Payoh,1324000,,,,,,,,
Bukit Batok,780000,,,,,,,,
Woodlands,890000,,,,,,,,
Tampines,780000,,,,,,,,
Bedok,1450000,,,,,,,,
Hougang,1230000,,,,,,,,
Kallang,1265000,,,,,,,,
Bukit Merah,3180000,,,,,,,,
Clementi,1180000,,,,,,,,
Toa Payoh,1320000,,,,,,,,
Bukit Merah,4745000,,,,,,,,
Sengkang,1303000,,,,,,,,
Choa Chu Kang,890000,,,,,,,,
Tampines,965000,,,,,,,,
Toa Payoh,1632000,,,,,,,,
Bukit Batok,755888,,,,,,,,
Bedok,928000,,,,,,,,
Toa Payoh,1091000,,,,,,,,
Hougang,628000,,,,,,,,
Hougang,1420000,,,,,,,,
Tampines,955000,,,,,,,,
Woodlands,875000,,,,,,,,
Bishan,1075500,,,,,,,,
Kallang,3000000,,,,,,,,
Clementi,950000,,,,,,,,
Sengkang,647500,,,,,,,,
Bedok,2070000,,,,,,,,
Bukit Merah,2690000,,,,,,,,
Hougang,1100000,,,,,,,,
Yishun,1150000,,,,,,,,
Hougang,1350000,,,,,,,,
Sembawang,690000,,,,,,,,
Toa Payoh,718000,,,,,,,,
Queenstown,1500000,,,,,,,,
Bukit Merah,3600000,,,,,,,,
Bukit Merah,2160000,,,,,,,,
Choa Chu Kang,968000,,,,,,,,
Bukit Merah,4650000,,,,,,,,
River Valley,3503100,,,,,,,,
Pasir Ris,525000,,,,,,,,
Pasir Ris,1288000,,,,,,,,
Pasir Ris,1350000,,,,,,,,
Bishan,1121100,,,,,,,,
Bedok,1934000,,,,,,,,
Choa Chu Kang,1338000,,,,,,,,
Pasir Ris,1430000,,,,,,,,
Bukit Batok,818000,,,,,,,,
Sembawang,600000,,,,,,,,
