school_name,Primary School,address,postal_code,dgp_code,mainlevel_code
KEMING PRIMARY SCHOOL,KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,BUKIT BATOK,PRIMARY
KRANJI PRIMARY SCHOOL,KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,CHOA CHU KANG,PRIMARY
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,BISHAN,PRIMARY
LAKESIDE PRIMARY SCHOOL,LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,JURONG WEST,PRIMARY
LIANHUA PRIMARY SCHOOL,LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,BUKIT BATOK,PRIMARY
MARSILING PRIMARY SCHOOL,MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,WOODLANDS,PRIMARY
MAYFLOWER PRIMARY SCHOOL,MAYFLOWER PRIMARY SCHOOL,6    ANG MO KIO AVE 2,569948,ANG MO KIO,PRIMARY
MERIDIAN PRIMARY SCHOOL,MERIDIAN PRIMARY SCHOOL,20   PASIR RIS ST 71,518798,PASIR RIS,PRIMARY
NAN CHIAU PRIMARY SCHOOL,NAN CHIAU PRIMARY SCHOOL,50   ANCHORVALE LINK,545080,SENG KANG,PRIMARY
NAN HUA PRIMARY SCHOOL,NAN HUA PRIMARY SCHOOL,30   Jalan Lempeng,128806,CLEMENTI,PRIMARY
NANYANG PRIMARY SCHOOL,NANYANG PRIMARY SCHOOL,52   KING'S ROAD,268097,BUKIT TIMAH,PRIMARY
NAVAL BASE PRIMARY SCHOOL,NAVAL BASE PRIMARY SCHOOL,7    YISHUN AVE 4,769028,YISHUN,PRIMARY
NEW TOWN PRIMARY SCHOOL,NEW TOWN PRIMARY SCHOOL,300  Tanglin Halt Road,148812,QUEENSTOWN,PRIMARY
NGEE ANN PRIMARY SCHOOL,NGEE ANN PRIMARY SCHOOL,344  MARINE TERRACE,449149,MARINE PARADE,PRIMARY
NORTH SPRING PRIMARY SCHOOL,NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,SENG KANG,PRIMARY
NORTH VIEW PRIMARY SCHOOL,NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,YISHUN,PRIMARY
NORTH VISTA PRIMARY SCHOOL,NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,SENG KANG,PRIMARY
NORTHLAND PRIMARY SCHOOL,NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,YISHUN,PRIMARY
NORTHOAKS PRIMARY SCHOOL,NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,SEMBAWANG,PRIMARY
OASIS PRIMARY SCHOOL,OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,PUNGGOL,PRIMARY
OPERA ESTATE PRIMARY SCHOOL,OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,BEDOK,PRIMARY
PALM VIEW PRIMARY SCHOOL,PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,SENG KANG,PRIMARY
PARK VIEW PRIMARY SCHOOL,PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,PASIR RIS,PRIMARY
