Planning Area,Age 0 - 4,Age 5 - 9,Age 10 - 14,Age 15 - 19,Age 25 - 29,Age 30 - 34,Age 35 - 39,Age 40 - 44,Age 45 - 49,Age 50 - 54,Age 55 - 59,Age 60 - 64,Age 65 - 69,Age 70 - 74,Age 75 - 79
Toa Payoh,"5,040","5,650","5,740","6,470","7,620","8,440","9,040","10,140","9,440","9,730","9,910","8,290","7,410","5,040","4,500"
Tuas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Water Catchment,40,50,50,40,80,40,90,100,60,60,60,40,10,10,10
Woodlands,"11,960","14,430","17,000","21,030","17,920","18,460","18,680","21,110","22,230","21,060","16,810","11,640","7,630","4,060","3,090"
Yishun,"10,230","9,950","10,440","12,190","17,010","17,040","15,420","15,110","14,950","17,360","15,950","12,310","8,340","4,430","3,190"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
